epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1,val_f1
0,0.9049698104908637,0.5695452913445375,0.7576607142857142,0.8762857142857143,0.7544691299495164,0.8763205211553405
1,0.4633314517646461,0.43985073799538243,0.8641428571428571,0.8951428571428571,0.862203864730537,0.8949793654312382
2,0.41462250740462175,0.3981384178279734,0.8767678571428571,0.903,0.8744408909817274,0.9030793195489741
3,0.38745793215040736,0.3670600004063703,0.8838214285714285,0.9090714285714285,0.8826433973387914,0.9090130040873229
4,0.36753512410508216,0.35974749192665306,0.8877142857142857,0.9112857142857143,0.8852838592082127,0.9116902535222297
5,0.35358997811048676,0.34515555248464214,0.8935357142857143,0.9159285714285714,0.8915183559346965,0.9162690724930459
6,0.34567351884706427,0.34837897238489335,0.8958214285714285,0.9145,0.894196737433109,0.9151945664748505
7,0.3381474003408212,0.3414332942894838,0.8983214285714286,0.9195714285714286,0.8964894914499583,0.9201121023368133
8,0.3298017188286978,0.34521661466128567,0.9016785714285714,0.9187142857142857,0.8998157341951057,0.9195225702482885
9,0.31885154883097944,0.34077482752974403,0.9039464285714286,0.9192142857142858,0.902082829894281,0.9202820873294459
